67 9
77 7
24 9
58 9
35 9
37 9
35 8
11 9
35 9
88 9
24 9
35 8
24 9
58 9
24 7
24 8
78 9
55 9
67 9
2 9
24 8
67 8
24 9
58 8
24 8
67 9
90 9
35 9
67 9
67 9
37 9
90 8
24 8
90 9
77 9
37 8
90 9
35 9
55 9
11 9
55 9
77 8
90 9
11 9
16 9
67 9
24 9
67 8
55 9
58 8
58 9
35 9
0 9
58 9
0 9
24 9
67 9
55 9
89 9
24 7
35 8
24 9
24 9
37 9
58 9
58 9
77 8
77 8
58 9
77 7
89 9
24 9
11 9
89 9
24 9
58 8
58 9
16 8
11 8
58 9
58 9
24 9
89 9
58 8
11 9
58 8
67 9
58 8
11 9
77 9
2 8
58 7
67 9
24 9
67 9
24 8
58 9
90 9
77 9
24 9
24 7
90 9
49 9
58 9
16 8
58 8
58 9
67 9
11 9
16 8
37 9
58 9
24 9
11 9
35 9
16 9
24 8
35 8
11 9
58 8
58 9
11 9
58 8
24 7
11 8
67 9
77 9
24 9
35 8
55 9
24 9
11 9
24 9
11 8
58 8
16 8
11 9
58 8
24 9
24 9
11 9
35 9
24 8
2 9
58 9
11 9
35 9
67 9
35 9
58 9
11 9
16 7
35 7
77 9
90 9
78 9
58 7
16 8
58 9
0 7
35 8
11 9
11 9
67 8
77 9
24 7
35 9
77 9
24 9
58 9
24 8
90 9
77 9
58 7
67 9
58 7
58 9
58 9
77 7
58 9
58 7
35 8
58 9
11 9
11 9
58 9
35 9
11 8
58 9
58 9
55 9
16 9
77 9
58 9
77 9
67 9
35 8
24 9
35 9
77 7
77 8
58 9
89 9
24 9
35 7
2 8
58 7
89 9
16 9
11 7
58 9
67 7
24 9
67 7
67 9
58 9
67 7
58 8
16 9
35 7
55 9
0 9
58 9
35 9
35 9
11 9
16 9
24 9
24 8
11 9
90 9
90 9
58 9
77 9
67 9
35 8
55 9
35 8
77 8
90 9
89 9
24 9
58 8
11 9
11 9
11 9
16 7
58 9
90 9
67 9
78 9
16 9
24 9
11 8
37 9
77 7
35 9
0 7
24 9
58 9
35 8
55 9
58 8
77 9
24 9
35 9
77 8
77 7
11 9
35 9
24 9
88 9
24 9
58 9
89 9
11 8
24 9
35 8
24 7
11 9
11 9
49 9
78 9
11 8
58 9
67 8
11 9
35 9
58 8
24 8
67 7
35 9
90 8
77 9
58 8
58 9
89 9
89 9
24 9
67 9
11 8
35 9
16 9
67 8
77 7
35 7
67 8
58 9
67 9
58 9
11 8
11 9
16 8
49 9
89 9
90 9
11 9
78 9
77 9
16 7
35 7
35 9
11 9
49 9
78 9
58 9
11 9
67 9
24 9
58 9
77 9
24 9
90 9
58 9
58 9
85 8
58 9
89 9
58 9
55 9
77 8
11 9
24 8
90 8
11 8
67 8
24 9
35 9
77 8
55 9
77 8
11 9
58 9
16 9
58 9
24 9
78 9
16 8
67 7
67 7
67 8
90 9
16 9
24 9
90 9
35 7
37 9
11 8
24 7
24 9
24 9
78 8
78 9
89 9
58 9
11 9
11 9
90 9
77 7
67 7
35 9
90 9
16 9
89 9
58 7
67 8
58 9
49 9
89 9
0 9
35 9
11 9
58 9
11 9
77 8
24 9
35 9
37 8
55 9
16 7
90 9
58 7
90 8
35 8
90 9
24 9
11 9
24 9
67 9
