11 10 11 9 11 11 10 11 11 11 11 10 11 11 100 10 9 9 7 8 11 11 8 10 9 1600 
100 100 100 9 100 100 100 100 11 100 100 8 11 100 100 11 11 10 10 11 10 11 10 10 10 1600 
9 10 10 100 11 9 10 100 100 11 100 100 100 7 100 100 11 100 11 11 100 100 100 100 11 400 
11 9 100 8 100 10 11 10 10 100 10 11 9 11 11 8 11 11 10 10 10 10 10 8 7 800 
8 10 10 100 11 8 10 11 100 100 11 100 100 7 100 11 11 100 11 11 100 100 100 100 11 400 
7 8 10 11 11 7 10 10 100 100 10 100 11 8 100 10 11 100 11 10 100 100 100 11 10 400 
9 7 10 11 11 8 9 11 100 11 11 100 11 9 100 10 10 11 10 9 100 100 11 11 10 400 
10 9 8 100 10 9 7 100 100 10 100 100 100 8 100 11 9 11 10 10 100 100 11 100 11 800 
11 10 10 10 10 11 10 100 100 10 100 10 11 11 100 11 8 8 8 8 11 100 8 11 10 320 
11 11 100 10 100 11 100 9 8 100 9 100 8 100 8 8 100 100 11 100 9 8 100 9 10 1600 
10 9 8 100 10 9 7 100 100 10 100 100 100 9 100 11 9 11 10 9 100 100 11 100 11 400 
9 7 10 11 11 8 8 11 100 11 11 100 11 9 100 10 9 11 9 8 11 100 10 11 9 800 
10 10 9 100 11 9 9 100 100 11 100 100 100 8 100 100 10 100 11 11 100 100 100 100 11 400 
100 11 11 10 11 11 10 100 100 10 100 9 11 100 100 11 9 8 8 9 11 100 7 11 10 1600 
8 8 10 11 11 7 9 11 100 11 11 100 11 8 100 10 10 11 10 10 100 100 11 11 10 800 
100 100 100 9 100 100 100 100 10 100 100 9 11 100 100 11 100 11 11 11 10 10 10 10 10 400 
9 9 100 11 100 9 11 8 10 100 8 100 10 10 11 8 100 100 11 11 11 11 100 10 10 320 
100 11 100 9 100 100 100 11 8 100 11 11 9 100 10 10 100 100 11 11 7 8 11 8 10 320 
7 10 11 100 100 8 10 11 100 100 11 100 100 8 100 11 11 100 11 11 100 100 100 100 11 800 
100 100 100 10 100 100 100 10 8 100 10 100 8 100 8 10 100 100 100 100 9 8 100 9 11 800 
8 10 100 11 100 9 11 9 11 100 9 100 11 10 11 10 100 100 11 11 100 11 100 11 10 800 
100 11 100 7 100 11 100 11 9 100 11 10 9 100 11 9 100 11 10 11 8 9 10 8 9 400 
9 10 100 100 100 10 11 9 11 100 9 100 11 10 11 10 100 100 100 100 100 100 100 11 11 400 
10 8 11 9 11 10 10 10 10 11 10 11 10 11 11 9 10 10 9 9 10 10 10 9 7 800 
8 9 10 100 11 7 9 11 100 11 11 100 100 7 100 11 11 100 11 10 100 100 100 100 11 400 
9 10 100 100 100 10 11 9 11 100 9 100 11 10 11 10 100 100 100 11 100 11 100 11 11 400 
10 9 9 11 10 9 7 100 100 10 100 100 100 9 100 11 9 11 10 9 100 100 11 100 10 1600 
100 11 100 8 100 11 11 100 11 11 11 9 10 100 100 10 10 9 9 10 10 11 8 10 9 1600 
11 10 11 10 11 11 10 100 11 10 100 10 11 11 100 11 9 8 8 8 11 11 7 11 10 1600 
8 7 10 11 11 7 9 10 11 11 10 100 11 9 100 10 10 11 10 10 11 11 11 11 9 1600 
8 10 11 100 100 9 11 10 100 100 10 100 100 9 100 11 100 100 11 11 100 100 100 100 11 400 
100 10 100 8 100 11 11 100 11 11 11 9 10 100 100 10 10 9 9 10 10 11 8 10 9 800 
11 11 100 11 100 11 100 7 10 100 8 100 10 100 10 9 100 100 100 100 11 10 100 10 11 320 
7 9 10 100 100 8 10 11 100 100 11 100 100 8 100 11 11 100 11 11 100 100 100 100 11 800 
100 100 100 10 100 100 100 100 100 100 100 7 100 100 100 100 11 10 11 11 11 100 9 11 11 800 
11 10 100 8 100 11 11 10 8 100 10 11 8 100 10 8 11 11 10 11 8 9 11 7 8 320 
100 11 9 100 8 11 9 100 100 7 100 11 100 11 100 100 8 10 10 9 100 100 10 100 11 1600 
100 10 11 10 10 11 10 100 100 10 100 10 100 100 100 11 9 7 8 8 100 100 8 11 10 320 
100 11 100 10 11 100 11 100 11 11 100 8 11 100 100 11 10 8 9 10 11 11 8 11 10 800 
10 9 9 11 10 10 8 100 100 10 100 11 100 10 100 11 8 10 8 8 100 100 10 11 10 400 
10 9 8 100 10 9 7 100 100 10 100 100 100 8 100 11 9 11 10 9 100 100 11 100 11 320 
9 10 100 100 100 10 11 9 11 100 9 100 11 10 11 10 100 100 100 100 100 100 100 11 11 400 
10 9 10 10 10 10 9 11 11 10 11 11 11 10 100 11 8 10 7 7 11 11 9 11 9 1600 
100 11 9 100 7 11 9 100 100 7 100 100 100 11 100 100 8 10 10 10 100 100 10 100 11 800 
10 9 8 11 10 9 7 100 100 10 100 100 100 9 100 11 9 11 10 9 100 100 11 100 11 1600 
11 11 100 11 100 11 100 8 10 100 8 100 9 100 9 9 100 100 100 100 10 10 100 10 10 320 
11 11 100 10 100 11 100 9 8 100 8 100 8 100 8 8 100 100 100 100 9 9 100 9 10 1600 
100 100 100 11 100 100 100 10 9 100 10 100 9 100 7 10 100 100 100 100 10 9 100 10 11 400 
8 9 10 100 11 8 9 11 100 11 11 100 100 7 100 11 11 100 11 11 100 100 100 100 11 800 
10 10 100 100 100 10 100 9 11 100 9 100 11 11 11 10 100 100 100 100 100 11 100 11 11 400 
100 11 100 9 100 11 100 10 7 100 10 11 7 100 9 9 100 100 11 11 8 7 11 8 10 320 
100 11 100 8 100 11 100 10 8 100 10 11 8 100 10 9 100 11 11 11 7 8 11 7 9 1600 
100 11 9 100 8 11 9 100 100 8 100 11 100 11 100 100 8 10 10 9 100 100 10 100 11 400 
10 9 10 11 10 9 8 11 100 10 11 11 11 10 100 11 8 10 8 7 100 100 10 11 10 400 
11 11 100 10 100 11 100 9 8 100 8 100 7 100 9 8 100 100 11 11 9 9 100 8 9 320 
100 100 100 10 100 100 100 100 100 11 100 8 100 100 100 100 11 9 10 10 11 100 9 11 11 400 
100 11 11 11 11 100 11 100 100 10 100 9 100 100 100 100 10 7 10 10 100 100 8 100 11 800 
11 10 10 10 10 11 10 100 100 10 100 10 11 11 100 11 8 8 7 8 11 100 8 11 10 800 
8 10 11 100 100 9 11 11 100 100 11 100 100 9 100 11 100 100 100 11 100 100 100 100 11 400 
11 10 8 100 8 11 9 100 100 8 100 100 100 10 100 100 8 10 10 9 100 100 10 100 11 320 
11 11 100 10 100 11 100 8 9 100 8 100 8 100 9 8 100 100 11 100 10 9 100 9 10 320 
9 7 10 11 11 8 9 11 11 11 10 100 11 9 100 10 10 11 10 9 11 11 11 11 10 400 
9 8 11 11 100 8 10 9 11 100 9 100 10 10 11 9 11 100 10 10 11 11 11 10 9 320 
100 11 100 8 100 100 11 100 10 100 11 9 10 100 100 10 11 10 10 10 10 10 9 9 9 1600 
10 11 100 11 100 10 100 7 11 100 8 100 10 11 10 9 100 100 100 100 11 11 100 11 11 320 
10 10 100 10 100 10 11 7 10 100 7 100 9 11 10 8 100 100 11 11 11 10 100 10 10 400 
11 9 11 8 11 10 10 11 10 11 11 10 10 11 100 10 10 10 8 9 10 10 9 9 8 800 
11 11 100 10 100 11 100 8 9 100 8 100 8 100 8 8 100 100 11 100 10 9 100 9 10 400 
100 10 100 9 11 11 11 100 11 11 100 9 11 100 100 11 10 9 9 9 10 11 8 10 9 320 
100 11 100 10 100 11 100 10 8 100 9 100 7 100 9 8 100 100 11 100 8 8 100 8 10 320 
11 10 100 9 100 10 11 9 9 100 9 11 8 11 10 7 11 100 10 11 9 9 11 8 8 400 
9 8 9 11 10 8 8 11 100 11 11 100 11 9 100 11 9 11 9 9 100 100 11 11 10 1600 
